sha,filename,url,lines,title,comment,priority,category,additional,id,private
"455cf520f266b1b45ed61ad649bfc4e737691f62","\app\priser\page.tsx","","36:0-44:13","Components","Husk at brug component!","0","Best Practices","","0432072c-a53d-42cf-a862-39d50fca2b4d","0"
"455cf520f266b1b45ed61ad649bfc4e737691f62","\app\omos\page.tsx","","13:0-37:12","P tags","Husk at bruge P tags i stedet for divs til at holde tekst!","0","Architecture","","a16787a2-13d0-48a5-bbbb-fd05d076e4d3","0"
